Model,Activation,Optimizer,Seq Length,Grad Clipping,Accuracy,F1,Epoch Time (s),Epochs,Hardware
LSTM,tanh,rmsprop,25,Yes,0.7223,0.7221,8.05,5,CPU
LSTM,tanh,rmsprop,50,No,0.73,0.7219,13.36,5,CPU
LSTM,tanh,rmsprop,50,Yes,0.7634,0.7629,13.87,5,CPU
LSTM,tanh,rmsprop,100,No,0.7725,0.772,24.98,5,CPU
LSTM,tanh,rmsprop,100,Yes,0.7946,0.7935,24.89,5,CPU
LSTM,sigmoid,adam,25,No,0.7212,0.7202,8.35,5,CPU
LSTM,sigmoid,adam,25,Yes,0.7205,0.7204,8.71,5,CPU
LSTM,sigmoid,adam,50,No,0.7396,0.7396,14.32,5,CPU
LSTM,sigmoid,adam,50,Yes,0.7634,0.7633,14.86,5,CPU
LSTM,sigmoid,adam,100,No,0.7625,0.761,25.44,5,CPU
LSTM,sigmoid,adam,100,Yes,0.6314,0.6186,26.21,5,CPU
LSTM,sigmoid,sgd,25,No,0.5015,0.4953,6.52,5,CPU
LSTM,sigmoid,sgd,25,Yes,0.5011,0.4921,7.17,5,CPU
LSTM,sigmoid,sgd,50,No,0.497,0.4138,12.54,5,CPU
LSTM,sigmoid,sgd,50,Yes,0.498,0.4334,13.73,5,CPU
LSTM,sigmoid,sgd,100,No,0.5008,0.3345,24.23,5,CPU
LSTM,sigmoid,sgd,100,Yes,0.5005,0.3354,24.85,5,CPU
LSTM,sigmoid,rmsprop,25,No,0.7166,0.7162,8.17,5,CPU
LSTM,sigmoid,rmsprop,25,Yes,0.7105,0.709,8.77,5,CPU
LSTM,sigmoid,rmsprop,50,No,0.7306,0.7247,13.65,5,CPU
LSTM,sigmoid,rmsprop,50,Yes,0.7343,0.7302,14.35,5,CPU
LSTM,sigmoid,rmsprop,100,No,0.7608,0.7596,24.8,5,CPU
LSTM,sigmoid,rmsprop,100,Yes,0.7885,0.7867,24.61,5,CPU
BILSTM,relu,adam,25,No,0.718,0.7175,14.23,5,CPU
BILSTM,relu,adam,25,Yes,0.7206,0.7202,15.18,5,CPU
BILSTM,relu,adam,50,No,0.764,0.7639,25.58,5,CPU
BILSTM,relu,adam,50,Yes,0.7642,0.7641,26.92,5,CPU
BILSTM,relu,adam,100,No,0.8064,0.8064,47.72,5,CPU
BILSTM,relu,adam,100,Yes,0.8151,0.815,48.09,5,CPU
BILSTM,relu,sgd,25,No,0.5049,0.5045,12.55,5,CPU
BILSTM,relu,sgd,25,Yes,0.5049,0.5045,12.91,5,CPU
BILSTM,relu,sgd,50,No,0.5036,0.5036,22.71,5,CPU
BILSTM,relu,sgd,50,Yes,0.5036,0.5036,23.44,5,CPU
BILSTM,relu,sgd,100,No,0.4974,0.4946,45.35,5,CPU
BILSTM,relu,sgd,100,Yes,0.4974,0.4946,47.31,5,CPU
BILSTM,relu,rmsprop,25,No,0.7123,0.7118,13.17,5,CPU
BILSTM,relu,rmsprop,25,Yes,0.712,0.7119,13.71,5,CPU
BILSTM,relu,rmsprop,50,No,0.7561,0.752,24.86,5,CPU
BILSTM,relu,rmsprop,50,Yes,0.7644,0.7624,25.18,5,CPU
BILSTM,relu,rmsprop,100,No,0.7675,0.7668,47.36,5,CPU
BILSTM,relu,rmsprop,100,Yes,0.8134,0.8133,49.59,5,CPU
BILSTM,tanh,adam,25,No,0.7186,0.7186,15.19,5,CPU
BILSTM,tanh,adam,25,Yes,0.7169,0.7169,14.93,5,CPU
BILSTM,tanh,adam,50,No,0.7666,0.7657,24.75,5,CPU
BILSTM,tanh,adam,50,Yes,0.7667,0.7667,25.05,5,CPU
BILSTM,tanh,adam,100,No,0.8096,0.8095,47.81,5,CPU
BILSTM,tanh,adam,100,Yes,0.8096,0.8094,47.91,5,CPU
BILSTM,tanh,sgd,25,No,0.5043,0.503,11.89,5,CPU
BILSTM,tanh,sgd,25,Yes,0.5043,0.503,12.43,5,CPU
BILSTM,tanh,sgd,50,No,0.5073,0.5048,22.98,5,CPU
